"region_id","state","wetland","barren","elevatn","dst_t_c","barrier","land_acres","med_hhincome_p","mean_price","pop_density","urban_population_mean","LCV_1982","total_revenue","property_tax","reliance"
"10368",10,0.254999998336037,0,3.39396016187224,299.8230877254,0,132.739079332676,20382,NA,0.61205295836555,0,67,99504.8333333333,22533.5,0.226902256453844
"10501",10,0.95203539966482,0.000265486719729637,-0.22700000599414,167.018656327958,0,2368.33728168622,35247.3562009122,NA,0.00472775264263618,1180872.13274336,67,99504.8333333333,22533.5,0.226902256453844
"10584",10,0.587999999523163,0,0,46.3297524623251,0,65.2471008023359,38958,NA,0.0162719912821502,1502989,67,99504.8333333333,22533.5,0.226902256453844
"10713",10,0.941730772073452,0.00128205125339521,-0.0250142144398968,240.508453141484,0,3256.48818212287,38958,3900000,0.00801804723179423,1109905.98076923,67,99504.8333333333,22533.5,0.226902256453844
"10859",10,0.144210527013791,0.00526315777709611,-0.294954331618705,71.888938757279,0,103.669046531645,27601.7217198157,375079.243243243,0.370028768123716,0,67,99504.8333333333,22533.5,0.226902256453844
"10928",10,0.72909091277556,0.000909090888771182,0,69.7725578030206,0,171.789835023872,40169.1559271588,NA,0.00298986028626628,515520,67,99504.8333333333,22533.5,0.226902256453844
"10963",10,0.169999999792448,0.00214285709496064,-1.29958340191364,61.2738353388354,0,70.7537666821424,31341.3885561923,549927.64516129,0.16237522454869,0,67,2985294.16666667,863555.5,0.290559975018816
"121418",12,0.132499998435378,0.522499993443489,0.230651675225219,114.010827755903,0,21.5382674323245,14728,178638.888888889,0.309826646118114,0,60,2553462.5,755396.666666667,0.300453171282054
"121530",12,0.185714282893709,0,-1.33126565661208,59.1308468069395,0,42.5698239244892,16243.1967888468,212991.666666667,0,0,60,2553462.5,755396.666666667,0.300453171282054
"121664",12,0.823749999205271,0.00958333350718017,0.253027220714174,103.167410780646,0,197.646047145922,29553.7583583969,620664.666666667,0.339795968195701,392771.75,42,2553462.5,755396.666666667,0.300453171282054
"121736",12,0.16363636421209,0.0200000003996222,0,108.129245199728,0,99.4758172712557,36521.7419343562,335363.757575758,1.19399452984888,58783.7272727273,51,2553462.5,755396.666666667,0.300453171282054
"121819",12,0.379499995708466,0.00099999997764825,1.04090375587843,72.7239307737191,0,158.593547182986,16677.2957299058,177875,0.00767651746028937,0,60,2553462.5,755396.666666667,0.300453171282054
"121845",12,0.069090908901258,0.639999991113489,0,108.946674150343,0,203.08294215617,0,NA,0,277451,51,2553462.5,755396.666666667,0.300453171282054
"121978",12,0.70379310229729,0.0968965524486427,-3.07208037008696,102.517678695922,0,478.560138564947,32270,203668.75,0.06144503569506,67492.9655172414,60,2553462.5,755396.666666667,0.300453171282054
"122001",12,0.915882352520438,0.00676470578593368,0.610256770292822,152.054554335413,0,676.731211504286,0,NA,0,1523817.94117647,62,2553462.5,755396.666666667,0.300453171282054
"122018",12,0.680000001192093,0.0736666677519679,-0.306876815346854,78.5749399510175,0,499.333542839751,15600.4501961545,181304.391304348,0.0269704630789374,0,60,2553462.5,755396.666666667,0.300453171282054
"122070",12,0.536999997496605,0.123000001907349,-0.547969105368768,114.985486427248,0,169.012954415493,0,NA,0.661938029449892,277451,51,2553462.5,755396.666666667,0.300453171282054
"122143",12,0.28823529457783,0.000588235280969588,-1.23051204645769,64.5032330698027,0,120.55621337211,20957.0321589308,81615.3846153846,0.954360657126075,1908367.29411765,62,2553462.5,755396.666666667,0.300453171282054
"122196",12,0.0404545453123071,0.0104545452208682,1.61042627753431,93.2569924601056,0,143.646882652084,41618.7423666635,452818.653846154,1.24668286890578,277451,51,2553462.5,755396.666666667,0.300453171282054
"122241",12,0.505217395398928,0.00391304339079752,-7.38607788839958,88.3777576480839,0,236.581680902347,28582.5712810897,237136.666666667,0.0655975702715708,49641.5652173913,60,2553462.5,755396.666666667,0.300453171282054
"122327",12,0.585897437272928,0.000769230752037128,-0.584304453653485,60.7571160559258,0,484.728755569678,20377.2689420653,189339.550724638,0.0423898666865791,1578029.92307692,42,2553462.5,755396.666666667,0.300453171282054
"122334",12,0.561333329727252,0.415999999642372,-12.7614188928758,40.7072425182534,0,183.712804495337,21406,NA,0.00506039099936643,0,60,2553462.5,755396.666666667,0.300453171282054
"122363",12,0.918342857871737,0.00194285712071829,-2.26614645247017,195.895717153552,0,3322.49752967515,21413.0366247028,200235.905882353,0.180995985376611,1577430.04,42,2553462.5,755396.666666667,0.300453171282054
"122371",12,0.761228070970167,0.0405263155045217,0.731275462831444,260.752679877318,0,1117.38832518225,17750.4297206324,339781.818181818,0.0413770578898974,40061.6140350877,60,2553462.5,755396.666666667,0.300453171282054
"122403",12,0.122105264349988,0.000526315777709632,-0.768660250482232,118.638711819012,0,87.17608510418,29451.2217570727,286642.857142857,3.26983675588336,1646038.68421053,31,2553462.5,755396.666666667,0.300453171282054
"122416",12,0.295624998456333,0.00156249996507541,-0.597223922980321,77.621332405161,0,272.894802099288,20596.8923100212,190368.666666667,0.00297035167838379,0,51,2553462.5,755396.666666667,0.300453171282054
